TransactionID,TransactionDate,Amount,BankNameSent,BankNameReceived,TransactionType,Status,TransactionTime,DeviceType,PaymentMethod,Purpose,PaymentMode,Currency,CustomerAccountNumber,MerchantAccountNumber
TXN00013,2024-02-14,1202.84,SBI Bank,HDFC Bank,Transfer,Success,05:51:36,Tablet,Phone Number,Bill Payment,Scheduled,USD,123456789025,987654321025
TXN00014,2024-03-15,1959.25,ICICI Bank,SBI Bank,Payment,Success,05:59:53,Laptop,QR Code,Others,Instant,EUR,123456789026,987654321026
TXN00015,2024-04-16,1057.03,Axis Bank,Axis Bank,Transfer,Failed,00:19:54,Mobile,UPI ID,Shopping,Scheduled,GBP,123456789027,987654321027
TXN00016,2024-05-17,445.86,HDFC Bank,ICICI Bank,Payment,Success,00:58:44,Tablet,Phone Number,Food,Instant,INR,123456789028,987654321028
TXN00017,2024-06-18,1169.9,SBI Bank,HDFC Bank,Transfer,Success,02:44:51,Laptop,QR Code,Travel,Scheduled,USD,123456789029,987654321029
TXN00018,2024-07-19,468.41,ICICI Bank,SBI Bank,Payment,Success,04:08:57,Mobile,UPI ID,Bill Payment,Instant,EUR,123456789030,987654321030
TXN00019,2024-08-20,1680.49,Axis Bank,Axis Bank,Transfer,Success,17:19:38,Tablet,Phone Number,Others,Scheduled,GBP,123456789031,987654321031
TXN00020,2024-09-21,1041.4,HDFC Bank,ICICI Bank,Payment,Failed,04:48:15,Laptop,QR Code,Shopping,Instant,INR,123456789032,987654321032
TXN00021,2024-10-22,82.31,SBI Bank,HDFC Bank,Transfer,Success,12:29:39,Mobile,UPI ID,Food,Scheduled,USD,123456789033,987654321033
TXN00022,2024-11-23,352.02,ICICI Bank,SBI Bank,Payment,Success,09:01:29,Tablet,Phone Number,Travel,Instant,EUR,123456789034,987654321034
TXN00023,2024-12-24,625.1,Axis Bank,Axis Bank,Transfer,Success,03:52:19,Laptop,QR Code,Bill Payment,Scheduled,GBP,123456789035,987654321035
TXN00024,2024-01-25,789.62,HDFC Bank,ICICI Bank,Payment,Success,19:18:02,Mobile,UPI ID,Others,Instant,INR,123456789036,987654321036
TXN00025,2024-02-26,1912.19,SBI Bank,HDFC Bank,Transfer,Failed,16:03:35,Tablet,Phone Number,Shopping,Scheduled,USD,123456789037,987654321037
TXN00026,2024-03-27,316.76,ICICI Bank,SBI Bank,Payment,Success,20:21:35,Laptop,QR Code,Food,Instant,EUR,123456789038,987654321038
TXN00027,2024-04-28,556.08,Axis Bank,Axis Bank,Transfer,Success,09:21:19,Mobile,UPI ID,Travel,Scheduled,GBP,123456789039,987654321039
TXN00028,2024-05-29,976.21,HDFC Bank,ICICI Bank,Payment,Success,02:20:18,Tablet,Phone Number,Bill Payment,Instant,INR,123456789040,987654321040
TXN00029,2024-06-30,734.98,SBI Bank,HDFC Bank,Transfer,Success,15:16:46,Laptop,QR Code,Others,Scheduled,USD,123456789041,987654321041
TXN00030,2024-07-01,729.09,ICICI Bank,SBI Bank,Payment,Failed,19:21:33,Mobile,UPI ID,Shopping,Instant,EUR,123456789042,987654321042
TXN00031,2024-08-02,1288.17,Axis Bank,Axis Bank,Transfer,Success,22:26:46,Tablet,Phone Number,Food,Scheduled,GBP,123456789043,987654321043
TXN00032,2024-09-03,476.89,HDFC Bank,ICICI Bank,Payment,Success,22:39:01,Laptop,QR Code,Travel,Instant,INR,123456789044,987654321044
TXN00033,2024-10-04,240.93,SBI Bank,HDFC Bank,Transfer,Success,18:55:35,Mobile,UPI ID,Bill Payment,Scheduled,USD,123456789045,987654321045
TXN00034,2024-11-05,261.74,ICICI Bank,SBI Bank,Payment,Success,19:05:34,Tablet,Phone Number,Others,Instant,EUR,123456789046,987654321046
TXN00035,2024-12-06,261.36,Axis Bank,Axis Bank,Transfer,Failed,08:31:30,Laptop,QR Code,Shopping,Scheduled,GBP,123456789047,987654321047
TXN00036,2024-01-07,714.35,HDFC Bank,ICICI Bank,Payment,Success,02:16:49,Mobile,UPI ID,Food,Instant,INR,123456789048,987654321048
TXN00037,2024-02-08,783.66,SBI Bank,HDFC Bank,Transfer,Success,23:28:54,Tablet,Phone Number,Travel,Scheduled,USD,123456789049,987654321049
TXN00038,2024-03-09,631.61,ICICI Bank,SBI Bank,Payment,Success,14:42:10,Laptop,QR Code,Bill Payment,Instant,EUR,123456789050,987654321050
TXN00039,2024-04-10,432.82,Axis Bank,Axis Bank,Transfer,Success,19:55:18,Mobile,UPI ID,Others,Scheduled,GBP,123456789051,987654321051
TXN00040,2024-05-11,1196.32,HDFC Bank,ICICI Bank,Payment,Failed,04:59:06,Tablet,Phone Number,Shopping,Instant,INR,123456789052,987654321052
TXN00041,2024-06-12,58.41,SBI Bank,HDFC Bank,Transfer,Success,07:29:40,Laptop,QR Code,Food,Scheduled,USD,123456789053,987654321053
TXN00042,2024-07-13,1575.41,ICICI Bank,SBI Bank,Payment,Success,05:43:54,Mobile,UPI ID,Travel,Instant,EUR,123456789054,987654321054
TXN00043,2024-08-14,1424.68,Axis Bank,Axis Bank,Transfer,Success,20:23:22,Tablet,Phone Number,Bill Payment,Scheduled,GBP,123456789055,987654321055
TXN00044,2024-09-15,40.37,HDFC Bank,ICICI Bank,Payment,Success,13:18:37,Laptop,QR Code,Others,Instant,INR,123456789056,987654321056
TXN00045,2024-10-16,1237.03,SBI Bank,HDFC Bank,Transfer,Failed,06:05:36,Mobile,UPI ID,Shopping,Scheduled,USD,123456789057,987654321057
TXN00046,2024-11-17,309.54,ICICI Bank,SBI Bank,Payment,Success,19:40:52,Tablet,Phone Number,Food,Instant,EUR,123456789058,987654321058
TXN00047,2024-12-18,1006.09,Axis Bank,Axis Bank,Transfer,Success,06:36:34,Laptop,QR Code,Travel,Scheduled,GBP,123456789059,987654321059
TXN00048,2024-01-19,1105.85,HDFC Bank,ICICI Bank,Payment,Success,16:26:49,Mobile,UPI ID,Bill Payment,Instant,INR,123456789060,987654321060
TXN00049,2024-02-20,135.49,SBI Bank,HDFC Bank,Transfer,Success,10:56:25,Tablet,Phone Number,Others,Scheduled,USD,123456789061,987654321061
TXN00050,2024-03-21,1200.69,ICICI Bank,SBI Bank,Payment,Failed,14:41:40,Laptop,QR Code,Shopping,Instant,EUR,123456789062,987654321062
TXN00051,2024-04-22,290.37,Axis Bank,Axis Bank,Transfer,Success,04:19:25,Mobile,UPI ID,Food,Scheduled,GBP,123456789063,987654321063
TXN00052,2024-05-23,1099.5,HDFC Bank,ICICI Bank,Payment,Success,23:12:36,Tablet,Phone Number,Travel,Instant,INR,123456789064,987654321064
TXN00053,2024-06-24,1497.71,SBI Bank,HDFC Bank,Transfer,Success,04:56:35,Laptop,QR Code,Bill Payment,Scheduled,USD,123456789065,987654321065
TXN00054,2024-07-25,1167.44,ICICI Bank,SBI Bank,Payment,Success,00:36:45,Mobile,UPI ID,Others,Instant,EUR,123456789066,987654321066
TXN00055,2024-08-26,61.73,Axis Bank,Axis Bank,Transfer,Failed,03:59:33,Tablet,Phone Number,Shopping,Scheduled,GBP,123456789067,987654321067
TXN00056,2024-09-27,591.43,HDFC Bank,ICICI Bank,Payment,Success,14:21:14,Laptop,QR Code,Food,Instant,INR,123456789068,987654321068
TXN00057,2024-10-28,877.29,SBI Bank,HDFC Bank,Transfer,Success,15:30:44,Mobile,UPI ID,Travel,Scheduled,USD,123456789069,987654321069
TXN00058,2024-11-29,1050.05,ICICI Bank,SBI Bank,Payment,Success,00:35:41,Tablet,Phone Number,Bill Payment,Instant,EUR,123456789070,987654321070
TXN00059,2024-12-30,1753.84,Axis Bank,Axis Bank,Transfer,Success,16:13:14,Laptop,QR Code,Others,Scheduled,GBP,123456789071,987654321071
TXN00060,2024-01-01,1016.95,HDFC Bank,ICICI Bank,Payment,Failed,00:48:43,Mobile,UPI ID,Shopping,Instant,INR,123456789072,987654321072
TXN00061,2024-02-02,95.74,SBI Bank,HDFC Bank,Transfer,Success,07:56:15,Tablet,Phone Number,Food,Scheduled,USD,123456789073,987654321073
TXN00062,2024-03-03,582.7,ICICI Bank,SBI Bank,Payment,Success,09:14:03,Laptop,QR Code,Travel,Instant,EUR,123456789074,987654321074
TXN00063,2024-04-04,264.61,Axis Bank,Axis Bank,Transfer,Success,01:33:32,Mobile,UPI ID,Bill Payment,Scheduled,GBP,123456789075,987654321075
TXN00064,2024-05-05,1516.94,HDFC Bank,ICICI Bank,Payment,Success,12:40:23,Tablet,Phone Number,Others,Instant,INR,123456789076,987654321076
TXN00065,2024-06-06,847.75,SBI Bank,HDFC Bank,Transfer,Failed,20:12:31,Laptop,QR Code,Shopping,Scheduled,USD,123456789077,987654321077
TXN00066,2024-07-07,1053.87,ICICI Bank,SBI Bank,Payment,Success,03:34:54,Mobile,UPI ID,Food,Instant,EUR,123456789078,987654321078
TXN00067,2024-08-08,649.72,Axis Bank,Axis Bank,Transfer,Success,10:45:50,Tablet,Phone Number,Travel,Scheduled,GBP,123456789079,987654321079
TXN00068,2024-09-09,1401.99,HDFC Bank,ICICI Bank,Payment,Success,11:49:20,Laptop,QR Code,Bill Payment,Instant,INR,123456789080,987654321080
TXN00069,2024-10-10,683.59,SBI Bank,HDFC Bank,Transfer,Success,12:34:54,Mobile,UPI ID,Others,Scheduled,USD,123456789081,987654321081
TXN00070,2024-11-11,240.1,ICICI Bank,SBI Bank,Payment,Failed,01:33:50,Tablet,Phone Number,Shopping,Instant,EUR,123456789082,987654321082
TXN00071,2024-12-12,1663.2,Axis Bank,Axis Bank,Transfer,Success,15:28:37,Laptop,QR Code,Food,Scheduled,GBP,123456789083,987654321083
TXN00072,2024-01-13,376.61,HDFC Bank,ICICI Bank,Payment,Success,14:42:08,Mobile,UPI ID,Travel,Instant,INR,123456789084,987654321084
TXN00073,2024-02-14,1590.69,SBI Bank,HDFC Bank,Transfer,Success,11:05:45,Tablet,Phone Number,Bill Payment,Scheduled,USD,123456789085,987654321085
TXN00074,2024-03-15,623.18,ICICI Bank,SBI Bank,Payment,Success,13:22:53,Laptop,QR Code,Others,Instant,EUR,123456789086,987654321086
TXN00075,2024-04-16,1645.02,Axis Bank,Axis Bank,Transfer,Failed,14:36:24,Mobile,UPI ID,Shopping,Scheduled,GBP,123456789087,987654321087
TXN00076,2024-05-17,4.5,HDFC Bank,ICICI Bank,Payment,Success,08:09:09,Tablet,Phone Number,Food,Instant,INR,123456789088,987654321088
TXN00077,2024-06-18,1036.23,SBI Bank,HDFC Bank,Transfer,Success,08:32:50,Laptop,QR Code,Travel,Scheduled,USD,123456789089,987654321089
TXN00078,2024-07-19,1985.46,ICICI Bank,SBI Bank,Payment,Success,14:09:39,Mobile,UPI ID,Bill Payment,Instant,EUR,123456789090,987654321090
TXN00079,2024-08-20,486.67,Axis Bank,Axis Bank,Transfer,Success,04:23:43,Tablet,Phone Number,Others,Scheduled,GBP,123456789091,987654321091
TXN00080,2024-09-21,108.65,HDFC Bank,ICICI Bank,Payment,Failed,05:39:44,Laptop,QR Code,Shopping,Instant,INR,123456789092,987654321092
TXN00081,2024-10-22,940.24,SBI Bank,HDFC Bank,Transfer,Success,00:14:40,Mobile,UPI ID,Food,Scheduled,USD,123456789093,987654321093
TXN00082,2024-11-23,1705.75,ICICI Bank,SBI Bank,Payment,Success,15:32:23,Tablet,Phone Number,Travel,Instant,EUR,123456789094,987654321094
TXN00083,2024-12-24,430.18,Axis Bank,Axis Bank,Transfer,Success,09:42:28,Laptop,QR Code,Bill Payment,Scheduled,GBP,123456789095,987654321095
TXN00084,2024-01-25,818.34,HDFC Bank,ICICI Bank,Payment,Success,12:19:05,Mobile,UPI ID,Others,Instant,INR,123456789096,987654321096
TXN00085,2024-02-26,725.38,SBI Bank,HDFC Bank,Transfer,Failed,05:12:21,Tablet,Phone Number,Shopping,Scheduled,USD,123456789097,987654321097
TXN00086,2024-03-27,1323.91,ICICI Bank,SBI Bank,Payment,Success,03:45:28,Laptop,QR Code,Food,Instant,EUR,123456789098,987654321098
TXN00087,2024-04-28,1527.19,Axis Bank,Axis Bank,Transfer,Success,06:56:52,Mobile,UPI ID,Travel,Scheduled,GBP,123456789099,987654321099
TXN00088,2024-05-29,99.33,HDFC Bank,ICICI Bank,Payment,Success,16:12:05,Tablet,Phone Number,Bill Payment,Instant,INR,123456789100,987654321100
TXN00089,2024-06-30,1835.44,SBI Bank,HDFC Bank,Transfer,Success,00:20:38,Laptop,QR Code,Others,Scheduled,USD,123456789101,987654321101
TXN00090,2024-07-01,1803.64,ICICI Bank,SBI Bank,Payment,Failed,09:17:11,Mobile,UPI ID,Shopping,Instant,EUR,123456789102,987654321102
TXN00091,2024-08-02,506.51,Axis Bank,Axis Bank,Transfer,Success,20:10:58,Tablet,Phone Number,Food,Scheduled,GBP,123456789103,987654321103
TXN00092,2024-09-03,8.34,HDFC Bank,ICICI Bank,Payment,Success,03:35:43,Laptop,QR Code,Travel,Instant,INR,123456789104,987654321104
TXN00093,2024-10-04,1035.36,SBI Bank,HDFC Bank,Transfer,Success,08:00:59,Mobile,UPI ID,Bill Payment,Scheduled,USD,123456789105,987654321105
TXN00094,2024-11-05,236.42,ICICI Bank,SBI Bank,Payment,Success,08:28:10,Tablet,Phone Number,Others,Instant,EUR,123456789106,987654321106
TXN00095,2024-12-06,1497.97,Axis Bank,Axis Bank,Transfer,Failed,19:26:21,Laptop,QR Code,Shopping,Scheduled,GBP,123456789107,987654321107
TXN00096,2024-01-07,1997.89,HDFC Bank,ICICI Bank,Payment,Success,22:18:44,Mobile,UPI ID,Food,Instant,INR,123456789108,987654321108
TXN00097,2024-02-08,1476.86,SBI Bank,HDFC Bank,Transfer,Success,09:01:22,Tablet,Phone Number,Travel,Scheduled,USD,123456789109,987654321109
TXN00098,2024-03-09,306.34,ICICI Bank,SBI Bank,Payment,Success,13:31:06,Laptop,QR Code,Bill Payment,Instant,EUR,123456789110,987654321110
TXN00099,2024-04-10,1320.31,Axis Bank,Axis Bank,Transfer,Success,14:14:09,Mobile,UPI ID,Others,Scheduled,GBP,123456789111,987654321111
TXN00100,2024-05-11,572.7,HDFC Bank,ICICI Bank,Payment,Failed,18:25:15,Tablet,Phone Number,Shopping,Instant,INR,123456789112,987654321112
TXN00101,2024-06-12,634.99,SBI Bank,HDFC Bank,Transfer,Success,14:20:44,Laptop,QR Code,Food,Scheduled,USD,123456789113,987654321113
TXN00102,2024-07-13,1587.27,ICICI Bank,SBI Bank,Payment,Success,15:39:06,Mobile,UPI ID,Travel,Instant,EUR,123456789114,987654321114
TXN00103,2024-08-14,16.24,Axis Bank,Axis Bank,Transfer,Success,18:29:05,Tablet,Phone Number,Bill Payment,Scheduled,GBP,123456789115,987654321115
TXN00104,2024-09-15,409.39,HDFC Bank,ICICI Bank,Payment,Success,03:22:44,Laptop,QR Code,Others,Instant,INR,123456789116,987654321116
TXN00105,2024-10-16,426.54,SBI Bank,HDFC Bank,Transfer,Failed,02:03:41,Mobile,UPI ID,Shopping,Scheduled,USD,123456789117,987654321117
TXN00106,2024-11-17,1730.93,ICICI Bank,SBI Bank,Payment,Success,09:02:42,Tablet,Phone Number,Food,Instant,EUR,123456789118,987654321118
TXN00107,2024-12-18,1309.25,Axis Bank,Axis Bank,Transfer,Success,20:29:54,Laptop,QR Code,Travel,Scheduled,GBP,123456789119,987654321119
TXN00108,2024-01-19,11.92,HDFC Bank,ICICI Bank,Payment,Success,15:49:33,Mobile,UPI ID,Bill Payment,Instant,INR,123456789120,987654321120
TXN00109,2024-02-20,1701.26,SBI Bank,HDFC Bank,Transfer,Success,19:55:25,Tablet,Phone Number,Others,Scheduled,USD,123456789121,987654321121
TXN00110,2024-03-21,250.05,ICICI Bank,SBI Bank,Payment,Failed,04:44:09,Laptop,QR Code,Shopping,Instant,EUR,123456789122,987654321122
TXN00111,2024-04-22,1349.63,Axis Bank,Axis Bank,Transfer,Success,07:35:29,Mobile,UPI ID,Food,Scheduled,GBP,123456789123,987654321123
TXN00112,2024-05-23,949.34,HDFC Bank,ICICI Bank,Payment,Success,07:36:16,Tablet,Phone Number,Travel,Instant,INR,123456789124,987654321124
TXN00113,2024-06-24,944.05,SBI Bank,HDFC Bank,Transfer,Success,18:15:35,Laptop,QR Code,Bill Payment,Scheduled,USD,123456789125,987654321125
TXN00114,2024-07-25,1789.18,ICICI Bank,SBI Bank,Payment,Success,09:19:51,Mobile,UPI ID,Others,Instant,EUR,123456789126,987654321126
TXN00115,2024-08-26,1736.67,Axis Bank,Axis Bank,Transfer,Failed,04:08:08,Tablet,Phone Number,Shopping,Scheduled,GBP,123456789127,987654321127
TXN00116,2024-09-27,1144.97,HDFC Bank,ICICI Bank,Payment,Success,14:26:07,Laptop,QR Code,Food,Instant,INR,123456789128,987654321128
TXN00117,2024-10-28,944.14,SBI Bank,HDFC Bank,Transfer,Success,00:55:08,Mobile,UPI ID,Travel,Scheduled,USD,123456789129,987654321129
TXN00118,2024-11-29,463.45,ICICI Bank,SBI Bank,Payment,Success,12:54:48,Tablet,Phone Number,Bill Payment,Instant,EUR,123456789130,987654321130
TXN00119,2024-12-30,326.43,Axis Bank,Axis Bank,Transfer,Success,01:57:52,Laptop,QR Code,Others,Scheduled,GBP,123456789131,987654321131
TXN00120,2024-01-01,240.72,HDFC Bank,ICICI Bank,Payment,Failed,02:41:06,Mobile,UPI ID,Shopping,Instant,INR,123456789132,987654321132
TXN00121,2024-02-02,1853.27,SBI Bank,HDFC Bank,Transfer,Success,00:57:00,Tablet,Phone Number,Food,Scheduled,USD,123456789133,987654321133
TXN00122,2024-03-03,526.87,ICICI Bank,SBI Bank,Payment,Success,09:06:14,Laptop,QR Code,Travel,Instant,EUR,123456789134,987654321134
TXN00123,2024-04-04,925.88,Axis Bank,Axis Bank,Transfer,Success,09:25:41,Mobile,UPI ID,Bill Payment,Scheduled,GBP,123456789135,987654321135
TXN00124,2024-05-05,453.54,HDFC Bank,ICICI Bank,Payment,Success,10:31:55,Tablet,Phone Number,Others,Instant,INR,123456789136,987654321136
TXN00125,2024-06-06,1535.09,SBI Bank,HDFC Bank,Transfer,Failed,22:47:28,Laptop,QR Code,Shopping,Scheduled,USD,123456789137,987654321137
TXN00126,2024-07-07,787.96,ICICI Bank,SBI Bank,Payment,Success,19:01:38,Mobile,UPI ID,Food,Instant,EUR,123456789138,987654321138
TXN00127,2024-08-08,1831.44,Axis Bank,Axis Bank,Transfer,Success,01:24:19,Tablet,Phone Number,Travel,Scheduled,GBP,123456789139,987654321139
TXN00128,2024-09-09,11.56,HDFC Bank,ICICI Bank,Payment,Success,11:05:41,Laptop,QR Code,Bill Payment,Instant,INR,123456789140,987654321140
TXN00129,2024-10-10,1922.79,SBI Bank,HDFC Bank,Transfer,Success,03:01:28,Mobile,UPI ID,Others,Scheduled,USD,123456789141,987654321141
TXN00130,2024-11-11,434.02,ICICI Bank,SBI Bank,Payment,Failed,10:33:50,Tablet,Phone Number,Shopping,Instant,EUR,123456789142,987654321142
TXN00131,2024-12-12,1059.47,Axis Bank,Axis Bank,Transfer,Success,07:11:49,Laptop,QR Code,Food,Scheduled,GBP,123456789143,987654321143
TXN00132,2024-01-13,1466.54,HDFC Bank,ICICI Bank,Payment,Success,05:32:25,Mobile,UPI ID,Travel,Instant,INR,123456789144,987654321144
TXN00133,2024-02-14,852.73,SBI Bank,HDFC Bank,Transfer,Success,19:47:49,Tablet,Phone Number,Bill Payment,Scheduled,USD,123456789145,987654321145
TXN00134,2024-03-15,531.2,ICICI Bank,SBI Bank,Payment,Success,18:25:32,Laptop,QR Code,Others,Instant,EUR,123456789146,987654321146
TXN00135,2024-04-16,1128.21,Axis Bank,Axis Bank,Transfer,Failed,12:02:22,Mobile,UPI ID,Shopping,Scheduled,GBP,123456789147,987654321147
TXN00136,2024-05-17,1493.08,HDFC Bank,ICICI Bank,Payment,Success,21:40:00,Tablet,Phone Number,Food,Instant,INR,123456789148,987654321148
TXN00137,2024-06-18,1160.46,SBI Bank,HDFC Bank,Transfer,Success,20:17:43,Laptop,QR Code,Travel,Scheduled,USD,123456789149,987654321149
TXN00138,2024-07-19,394.9,ICICI Bank,SBI Bank,Payment,Success,08:43:56,Mobile,UPI ID,Bill Payment,Instant,EUR,123456789150,987654321150
TXN00139,2024-08-20,806.5,Axis Bank,Axis Bank,Transfer,Success,18:01:16,Tablet,Phone Number,Others,Scheduled,GBP,123456789151,987654321151
TXN00140,2024-09-21,628.11,HDFC Bank,ICICI Bank,Payment,Failed,21:21:17,Laptop,QR Code,Shopping,Instant,INR,123456789152,987654321152
TXN00141,2024-10-22,1829.61,SBI Bank,HDFC Bank,Transfer,Success,10:21:10,Mobile,UPI ID,Food,Scheduled,USD,123456789153,987654321153
TXN00142,2024-11-23,826.14,ICICI Bank,SBI Bank,Payment,Success,06:58:43,Tablet,Phone Number,Travel,Instant,EUR,123456789154,987654321154
TXN00143,2024-12-24,508.05,Axis Bank,Axis Bank,Transfer,Success,21:23:11,Laptop,QR Code,Bill Payment,Scheduled,GBP,123456789155,987654321155
TXN00144,2024-01-25,374.07,HDFC Bank,ICICI Bank,Payment,Success,22:12:54,Mobile,UPI ID,Others,Instant,INR,123456789156,987654321156
TXN00145,2024-02-26,1517.65,SBI Bank,HDFC Bank,Transfer,Failed,04:45:39,Tablet,Phone Number,Shopping,Scheduled,USD,123456789157,987654321157
TXN00146,2024-03-27,573.09,ICICI Bank,SBI Bank,Payment,Success,01:46:25,Laptop,QR Code,Food,Instant,EUR,123456789158,987654321158
TXN00147,2024-04-28,1722.08,Axis Bank,Axis Bank,Transfer,Success,01:17:28,Mobile,UPI ID,Travel,Scheduled,GBP,123456789159,987654321159
TXN00148,2024-05-29,858.29,HDFC Bank,ICICI Bank,Payment,Success,04:41:11,Tablet,Phone Number,Bill Payment,Instant,INR,123456789160,987654321160
TXN00149,2024-06-30,921.88,SBI Bank,HDFC Bank,Transfer,Success,02:48:23,Laptop,QR Code,Others,Scheduled,USD,123456789161,987654321161
TXN00150,2024-07-01,1029.92,ICICI Bank,SBI Bank,Payment,Failed,15:28:46,Mobile,UPI ID,Shopping,Instant,EUR,123456789162,987654321162
TXN00151,2024-08-02,233.5,Axis Bank,Axis Bank,Transfer,Success,21:26:12,Tablet,Phone Number,Food,Scheduled,GBP,123456789163,987654321163
TXN00152,2024-09-03,1082.45,HDFC Bank,ICICI Bank,Payment,Success,22:36:28,Laptop,QR Code,Travel,Instant,INR,123456789164,987654321164
TXN00153,2024-10-04,257.19,SBI Bank,HDFC Bank,Transfer,Success,08:26:20,Mobile,UPI ID,Bill Payment,Scheduled,USD,123456789165,987654321165
TXN00154,2024-11-05,1123.31,ICICI Bank,SBI Bank,Payment,Success,11:44:46,Tablet,Phone Number,Others,Instant,EUR,123456789166,987654321166
TXN00155,2024-12-06,1133.15,Axis Bank,Axis Bank,Transfer,Failed,08:37:36,Laptop,QR Code,Shopping,Scheduled,GBP,123456789167,987654321167
TXN00156,2024-01-07,236.49,HDFC Bank,ICICI Bank,Payment,Success,14:24:15,Mobile,UPI ID,Food,Instant,INR,123456789168,987654321168
TXN00157,2024-02-08,37.61,SBI Bank,HDFC Bank,Transfer,Success,23:58:36,Tablet,Phone Number,Travel,Scheduled,USD,123456789169,987654321169
TXN00158,2024-03-09,786.62,ICICI Bank,SBI Bank,Payment,Success,17:01:10,Laptop,QR Code,Bill Payment,Instant,EUR,123456789170,987654321170
TXN00159,2024-04-10,782.84,Axis Bank,Axis Bank,Transfer,Success,04:11:46,Mobile,UPI ID,Others,Scheduled,GBP,123456789171,987654321171
TXN00160,2024-05-11,167.64,HDFC Bank,ICICI Bank,Payment,Failed,05:20:27,Tablet,Phone Number,Shopping,Instant,INR,123456789172,987654321172
TXN00161,2024-06-12,1988.33,SBI Bank,HDFC Bank,Transfer,Success,12:34:13,Laptop,QR Code,Food,Scheduled,USD,123456789173,987654321173
TXN00162,2024-07-13,1104.99,ICICI Bank,SBI Bank,Payment,Success,15:09:50,Mobile,UPI ID,Travel,Instant,EUR,123456789174,987654321174
TXN00163,2024-08-14,311.98,Axis Bank,Axis Bank,Transfer,Success,01:34:10,Tablet,Phone Number,Bill Payment,Scheduled,GBP,123456789175,987654321175
TXN00164,2024-09-15,1613.28,HDFC Bank,ICICI Bank,Payment,Success,04:59:31,Laptop,QR Code,Others,Instant,INR,123456789176,987654321176
TXN00165,2024-10-16,1800.3,SBI Bank,HDFC Bank,Transfer,Failed,20:42:10,Mobile,UPI ID,Shopping,Scheduled,USD,123456789177,987654321177
TXN00166,2024-11-17,1390.84,ICICI Bank,SBI Bank,Payment,Success,12:14:22,Tablet,Phone Number,Food,Instant,EUR,123456789178,987654321178
TXN00167,2024-12-18,842.26,Axis Bank,Axis Bank,Transfer,Success,23:06:14,Laptop,QR Code,Travel,Scheduled,GBP,123456789179,987654321179
TXN00168,2024-01-19,1084.68,HDFC Bank,ICICI Bank,Payment,Success,17:21:18,Mobile,UPI ID,Bill Payment,Instant,INR,123456789180,987654321180
TXN00169,2024-02-20,1817.0,SBI Bank,HDFC Bank,Transfer,Success,11:27:35,Tablet,Phone Number,Others,Scheduled,USD,123456789181,987654321181
TXN00170,2024-03-21,1610.4,ICICI Bank,SBI Bank,Payment,Failed,20:23:54,Laptop,QR Code,Shopping,Instant,EUR,123456789182,987654321182
TXN00171,2024-04-22,253.47,Axis Bank,Axis Bank,Transfer,Success,23:28:09,Mobile,UPI ID,Food,Scheduled,GBP,123456789183,987654321183
TXN00172,2024-05-23,1000.09,HDFC Bank,ICICI Bank,Payment,Success,16:40:23,Tablet,Phone Number,Travel,Instant,INR,123456789184,987654321184
TXN00173,2024-06-24,1818.8,SBI Bank,HDFC Bank,Transfer,Success,02:31:35,Laptop,QR Code,Bill Payment,Scheduled,USD,123456789185,987654321185
