CustomerAccountNumber,Gender,CustomerAge,City,RemainingBalance
123456789169,Female,57,Delhi,7008.46
123456789170,Male,58,Bangalore,2149.54
123456789171,Female,59,Hyderabad,2798.33
123456789172,Male,20,Mumbai,8918.67
123456789173,Female,21,Delhi,9618.66
123456789174,Male,22,Bangalore,1634.05
123456789175,Female,23,Hyderabad,7845.1
123456789176,Male,24,Mumbai,7803.88
123456789177,Female,25,Delhi,4451.82
123456789178,Male,26,Bangalore,1423.17
123456789179,Female,27,Hyderabad,1491.34
123456789180,Male,28,Mumbai,2675.22
123456789181,Female,29,Delhi,2539.06
123456789182,Male,30,Bangalore,4940.94
123456789183,Female,31,Hyderabad,8274.6
123456789184,Male,32,Mumbai,7781.77
123456789185,Female,33,Delhi,8048.27
123456789186,Male,34,Bangalore,1888.93
123456789187,Female,35,Hyderabad,5494.4
123456789188,Male,36,Mumbai,8307.55
123456789189,Female,37,Delhi,4889.03
123456789190,Male,38,Bangalore,2730.3
123456789191,Female,39,Hyderabad,3293.88
123456789192,Male,40,Mumbai,7560.58
123456789193,Female,41,Delhi,8293.87
123456789194,Male,42,Bangalore,3330.7
123456789195,Female,43,Hyderabad,4458.72
123456789196,Male,44,Mumbai,8239.02
123456789197,Female,45,Delhi,4970.98
123456789198,Male,46,Bangalore,1583.18
123456789199,Female,47,Hyderabad,8607.07
123456789200,Male,48,Mumbai,311.15
123456789201,Female,49,Delhi,1601.64
123456789202,Male,50,Bangalore,8658.06
123456789203,Female,51,Hyderabad,209.19
123456789204,Male,52,Mumbai,8361.33
123456789205,Female,53,Delhi,9824.63
123456789206,Male,54,Bangalore,4266.54
123456789207,Female,55,Hyderabad,5194.37
123456789208,Male,56,Mumbai,5102.2
123456789209,Female,57,Delhi,3812.08
123456789210,Male,58,Bangalore,2843.33
123456789211,Female,59,Hyderabad,1330.89
123456789212,Male,20,Mumbai,4624.86
123456789213,Female,21,Delhi,4879.7
123456789214,Male,22,Bangalore,8988.99
123456789215,Female,23,Hyderabad,7618.14
123456789216,Male,24,Mumbai,6363.64
123456789217,Female,25,Delhi,2095.05
123456789218,Male,26,Bangalore,523.97
123456789219,Female,27,Hyderabad,2516.69
123456789220,Male,28,Mumbai,5182.86
123456789221,Female,29,Delhi,1697.92
123456789222,Male,30,Bangalore,7921.76
123456789223,Female,31,Hyderabad,9409.88
123456789224,Male,32,Mumbai,3191.17
123456789225,Female,33,Delhi,5632.73
123456789226,Male,34,Bangalore,1350.2
123456789227,Female,35,Hyderabad,7176.53
123456789228,Male,36,Mumbai,4251.02
123456789229,Female,37,Delhi,1775.92
123456789230,Male,38,Bangalore,3169.98
123456789231,Female,39,Hyderabad,5355.35
123456789232,Male,40,Mumbai,6968.55
123456789233,Female,41,Delhi,9066.67
123456789234,Male,42,Bangalore,9736.69
123456789235,Female,43,Hyderabad,5938.52
123456789236,Male,44,Mumbai,2708.84
123456789237,Female,45,Delhi,1621.83
123456789238,Male,46,Bangalore,3136.45
123456789239,Female,47,Hyderabad,9564.38
123456789240,Male,48,Mumbai,9164.58
123456789241,Female,49,Delhi,8363.43
123456789242,Male,50,Bangalore,2831.98
123456789243,Female,51,Hyderabad,1227.49
123456789244,Male,52,Mumbai,7566.7
123456789245,Female,53,Delhi,9001.19
123456789246,Male,54,Bangalore,3658.21
123456789247,Female,55,Hyderabad,6613.59
123456789248,Male,56,Mumbai,9182.7
123456789249,Female,57,Delhi,4953.82
123456789250,Male,58,Bangalore,5156.78
123456789251,Female,59,Hyderabad,3563.02
123456789252,Male,20,Mumbai,2141.68
123456789253,Female,21,Delhi,9177.96
123456789254,Male,22,Bangalore,2592.85
123456789255,Female,23,Hyderabad,5632.9
123456789256,Male,24,Mumbai,482.07
123456789257,Female,25,Delhi,6395.49
123456789258,Male,26,Bangalore,4923.42
123456789259,Female,27,Hyderabad,5807.71
123456789260,Male,28,Mumbai,2815.38
123456789261,Female,29,Delhi,6937.48
123456789262,Male,30,Bangalore,6289.48
123456789263,Female,31,Hyderabad,8250.89
123456789264,Male,32,Mumbai,1256.5
123456789265,Female,33,Delhi,4136.42
123456789266,Male,34,Bangalore,9217.84
123456789267,Female,35,Hyderabad,2120.2
123456789268,Male,36,Mumbai,6544.15
123456789269,Female,37,Delhi,6968.16
123456789270,Male,38,Bangalore,9673.76
123456789271,Female,39,Hyderabad,5219.04
123456789272,Male,40,Mumbai,9767.38
123456789273,Female,41,Delhi,8742.2
123456789274,Male,42,Bangalore,9.73
123456789275,Female,43,Hyderabad,290.59
123456789276,Male,44,Mumbai,7181.89
123456789277,Female,45,Delhi,860.17
123456789278,Male,46,Bangalore,8780.53
123456789279,Female,47,Hyderabad,8262.53
123456789280,Male,48,Mumbai,5132.52
123456789281,Female,49,Delhi,4484.08
123456789282,Male,50,Bangalore,6200.54
123456789283,Female,51,Hyderabad,7148.99
123456789284,Male,52,Mumbai,5286.42
123456789285,Female,53,Delhi,5249.81
123456789286,Male,54,Bangalore,4086.09
123456789287,Female,55,Hyderabad,3097.47
123456789288,Male,56,Mumbai,9542.47
123456789289,Female,57,Delhi,6726.26
123456789290,Male,58,Bangalore,2935.32
123456789291,Female,59,Hyderabad,2444.77
123456789292,Male,20,Mumbai,3153.45
123456789293,Female,21,Delhi,5675.39
123456789294,Male,22,Bangalore,7899.35
123456789295,Female,23,Hyderabad,1270.95
123456789296,Male,24,Mumbai,5960.03
123456789297,Female,25,Delhi,4074.17
123456789298,Male,26,Bangalore,3879.12
123456789299,Female,27,Hyderabad,6924.64
123456789300,Male,28,Mumbai,9613.03
123456789301,Female,29,Delhi,7806.27
123456789302,Male,30,Bangalore,3861.16
123456789303,Female,31,Hyderabad,3905.78
123456789304,Male,32,Mumbai,2592.89
123456789305,Female,33,Delhi,8466.24
123456789306,Male,34,Bangalore,5888.99
123456789307,Female,35,Hyderabad,1461.46
123456789308,Male,36,Mumbai,7784.57
123456789309,Female,37,Delhi,3001.82
123456789310,Male,38,Bangalore,5218.9
123456789311,Female,39,Hyderabad,3414.6
123456789312,Male,40,Mumbai,2475.55
123456789313,Female,41,Delhi,1192.43
123456789314,Male,42,Bangalore,4299.29
123456789315,Female,43,Hyderabad,4290.75
123456789316,Male,44,Mumbai,6862.05
123456789317,Female,45,Delhi,3894.56
123456789318,Male,46,Bangalore,8374.91
123456789319,Female,47,Hyderabad,9345.62
123456789320,Male,48,Mumbai,4027.21
123456789321,Female,49,Delhi,3851.68
123456789322,Male,50,Bangalore,6413.81
123456789323,Female,51,Hyderabad,3903.04
123456789636,Male,44,Mumbai,9173.92
123456789637,Female,45,Delhi,1000.56
123456789638,Male,46,Bangalore,2275.93
123456789639,Female,47,Hyderabad,9539.03
123456789640,Male,48,Mumbai,8343.78
123456789641,Female,49,Delhi,3782.89
123456789642,Male,50,Bangalore,9007.45
123456789643,Female,51,Hyderabad,8580.98
123456789644,Male,52,Mumbai,2424.33
123456789645,Female,53,Delhi,8465.95
123456789646,Male,54,Bangalore,4425.06
123456789647,Female,55,Hyderabad,991.37
123456789648,Male,56,Mumbai,6747.22
123456789649,Female,57,Delhi,6043.78
123456789650,Male,58,Bangalore,2820.65
123456789651,Female,59,Hyderabad,3288.57
123456789652,Male,20,Mumbai,2050.93
123456789653,Female,21,Delhi,4547.62
123456789654,Male,22,Bangalore,2716.67
123456789655,Female,23,Hyderabad,6519.98
123456789656,Male,24,Mumbai,1186.65
123456789657,Female,25,Delhi,8229.17
123456789658,Male,26,Bangalore,5103.77
123456789659,Female,27,Hyderabad,7999.47
123456789660,Male,28,Mumbai,4908.56
123456789661,Female,29,Delhi,2822.85
123456789662,Male,30,Bangalore,166.26
123456789663,Female,31,Hyderabad,4957.91
123456789664,Male,32,Mumbai,2556.85
123456789665,Female,33,Delhi,1868.06
123456789666,Male,34,Bangalore,6635.74
123456789667,Female,35,Hyderabad,4593.44
123456789668,Male,36,Mumbai,6404.95
123456789669,Female,37,Delhi,7036.34
123456789670,Male,38,Bangalore,3640.03
123456789671,Female,39,Hyderabad,9454.95
123456789672,Male,40,Mumbai,3913.34
123456789673,Female,41,Delhi,3405.48
123456789674,Male,42,Bangalore,2673.91
123456789675,Female,43,Hyderabad,2606.44
123456789676,Male,44,Mumbai,5955.4
123456789677,Female,45,Delhi,9025.67
123456789678,Male,46,Bangalore,8617.82
123456789679,Female,47,Hyderabad,3304.1
123456789680,Male,48,Mumbai,1650.82
123456789681,Female,49,Delhi,9512.37
123456789682,Male,50,Bangalore,9018.81
123456789683,Female,51,Hyderabad,7510.97
123456789684,Male,52,Mumbai,253.82
123456789685,Female,53,Delhi,9289.38
123456789686,Male,54,Bangalore,4105.44
123456789687,Female,55,Hyderabad,5476.89
123456789688,Male,56,Mumbai,8421.68
123456789689,Female,57,Delhi,4484.89
123456789690,Male,58,Bangalore,2059.95
123456789691,Female,59,Hyderabad,8906.78
123456789692,Male,20,Mumbai,521.96
123456789693,Female,21,Delhi,1993.78
123456789694,Male,22,Bangalore,9671.11
123456789695,Female,23,Hyderabad,2951.08
123456789696,Male,24,Mumbai,8879.12
123456789697,Female,25,Delhi,4880.01
123456789698,Male,26,Bangalore,5475.67
123456789699,Female,27,Hyderabad,8426.56
123456789700,Male,28,Mumbai,1378.76
123456789701,Female,29,Delhi,5606.38
123456789702,Male,30,Bangalore,58.48
123456789703,Female,31,Hyderabad,1246.96
123456789704,Male,32,Mumbai,3163.24
123456789705,Female,33,Delhi,3514.96
123456789706,Male,34,Bangalore,1608.3
123456789707,Female,35,Hyderabad,9978.54
123456789708,Male,36,Mumbai,7906.76
123456789709,Female,37,Delhi,1453.71
123456789710,Male,38,Bangalore,5105.8
123456789711,Female,39,Hyderabad,407.6
123456789712,Male,40,Mumbai,8854.14
123456789713,Female,41,Delhi,7917.93
123456789714,Male,42,Bangalore,470.87
123456789715,Female,43,Hyderabad,6691.7
123456789716,Male,44,Mumbai,9822.74
123456789717,Female,45,Delhi,1107.11
123456789718,Male,46,Bangalore,1760.48
123456789719,Female,47,Hyderabad,4166.98
123456789720,Male,48,Mumbai,8300.94
123456789721,Female,49,Delhi,6047.17
123456789722,Male,50,Bangalore,8056.95
123456789723,Female,51,Hyderabad,3388.94
123456789724,Male,52,Mumbai,4738.76
123456789725,Female,53,Delhi,3795.8
123456789726,Male,54,Bangalore,7585.24
123456789727,Female,55,Hyderabad,5667.91
123456789728,Male,56,Mumbai,5709.6
123456789729,Female,57,Delhi,8939.9
123456789730,Male,58,Bangalore,7223.95
123456789731,Female,59,Hyderabad,7150.28
123456789732,Male,20,Mumbai,6947.22
123456789733,Female,21,Delhi,3749.25
123456789734,Male,22,Bangalore,5874.4
123456789735,Female,23,Hyderabad,1999.5
123456789736,Male,24,Mumbai,7036.77
123456789737,Female,25,Delhi,7534.01
123456789738,Male,26,Bangalore,8840.3
123456789739,Female,27,Hyderabad,1606.32
123456789740,Male,28,Mumbai,813.25
123456789741,Female,29,Delhi,8851.37
123456789742,Male,30,Bangalore,2125.21
123456789743,Female,31,Hyderabad,3867.94
123456789744,Male,32,Mumbai,1602.69
123456789745,Female,33,Delhi,8046.66
123456789746,Male,34,Bangalore,5439.96
123456789747,Female,35,Hyderabad,4390.33
123456789748,Male,36,Mumbai,745.81
123456789749,Female,37,Delhi,1480.47
123456789750,Male,38,Bangalore,385.75
123456789751,Female,39,Hyderabad,9700.91
123456789752,Male,40,Mumbai,4791.98
123456789753,Female,41,Delhi,29.88
123456789754,Male,42,Bangalore,1351.78
123456789755,Female,43,Hyderabad,5545.17
123456789756,Male,44,Mumbai,434.78
123456789757,Female,45,Delhi,3106.05
123456789758,Male,46,Bangalore,7776.29
123456789759,Female,47,Hyderabad,3820.95
123456789760,Male,48,Mumbai,6654.83
123456789761,Female,49,Delhi,7236.14
123456789762,Male,50,Bangalore,4767.47
123456789763,Female,51,Hyderabad,9858.99
123456789764,Male,52,Mumbai,380.99
123456789765,Female,53,Delhi,9719.77
123456789766,Male,54,Bangalore,9574.19
123456789767,Female,55,Hyderabad,4822.45
123456789768,Male,56,Mumbai,4118.16
123456789769,Female,57,Delhi,1005.53
123456789770,Male,58,Bangalore,3444.52
123456789771,Female,59,Hyderabad,4581.85
123456789772,Male,20,Mumbai,7691.28
123456789773,Female,21,Delhi,3186.84
123456789774,Male,22,Bangalore,2736.98
123456789775,Female,23,Hyderabad,6773.01
123456789776,Male,24,Mumbai,9246.64
123456789777,Female,25,Delhi,6395.46
123456789778,Male,26,Bangalore,8226.49
123456789779,Female,27,Hyderabad,2928.5
123456789780,Male,28,Mumbai,1336.87
123456789781,Female,29,Delhi,7826.62
123456789782,Male,30,Bangalore,1443.81
123456789783,Female,31,Hyderabad,24.55
123456789784,Male,32,Mumbai,3735.39
123456789785,Female,33,Delhi,9338.77
123456789786,Male,34,Bangalore,1454.13
123456789787,Female,35,Hyderabad,2965.9
123456789788,Male,36,Mumbai,3957.42
123456789789,Female,37,Delhi,9818.4
123456789790,Male,38,Bangalore,7672.33
123456789791,Female,39,Hyderabad,1070.18
123456789792,Male,40,Mumbai,3138.43
123456789793,Female,41,Delhi,8718.91
123456789794,Male,42,Bangalore,2169.79
123456789795,Female,43,Hyderabad,4665.82
123456789796,Male,44,Mumbai,875.12
123456789797,Female,45,Delhi,8068.66
123456789798,Male,46,Bangalore,5520.51
123456789799,Female,47,Hyderabad,7865.29
123456789800,Male,48,Mumbai,6056.12
123456789801,Female,49,Delhi,146.35
123456789802,Male,50,Bangalore,656.37
123456789803,Female,51,Hyderabad,8104.72
123456789804,Male,52,Mumbai,9060.88
123456789805,Female,53,Delhi,9686.23
123456789806,Male,54,Bangalore,1967.62
123456789807,Female,55,Hyderabad,8004.52
123456789808,Male,56,Mumbai,6824.87
123456789809,Female,57,Delhi,9368.76
123456789810,Male,58,Bangalore,6424.69
123456789811,Female,59,Hyderabad,7880.74
123456789812,Male,20,Mumbai,2407.26
123456789813,Female,21,Delhi,4158.25
123456789814,Male,22,Bangalore,19.36
123456789815,Female,23,Hyderabad,4813.42
123456789816,Male,24,Mumbai,1161.8
123456789817,Female,25,Delhi,1843.12
123456789818,Male,26,Bangalore,3627.38
123456789819,Female,27,Hyderabad,1307.37
123456789820,Male,28,Mumbai,173.27
123456789821,Female,29,Delhi,2517.73
123456789822,Male,30,Bangalore,5255.07
123456789823,Female,31,Hyderabad,5716.81
123456789824,Male,32,Mumbai,5262.59
123456789825,Female,33,Delhi,6812.26
123456789826,Male,34,Bangalore,930.03
123456789827,Female,35,Hyderabad,1659.37
123456789828,Male,36,Mumbai,8156.52
123456789829,Female,37,Delhi,3792.72
123456789830,Male,38,Bangalore,6117.33
123456789831,Female,39,Hyderabad,8934.9
123456789832,Male,40,Mumbai,6864.5
123456789833,Female,41,Delhi,289.02
123456789834,Male,42,Bangalore,184.6
123456789835,Female,43,Hyderabad,1791.57
123456789836,Male,44,Mumbai,4499.39
123456789837,Female,45,Delhi,2768.06
123456789838,Male,46,Bangalore,5550.66
123456789839,Female,47,Hyderabad,4118.74
123456789840,Male,48,Mumbai,3392.83
123456789841,Female,49,Delhi,5850.66
123456789842,Male,50,Bangalore,2671.1
123456789843,Female,51,Hyderabad,4576.45
123456789844,Male,52,Mumbai,7500.56
123456789845,Female,53,Delhi,9629.04
123456789846,Male,54,Bangalore,1853.42
123456789847,Female,55,Hyderabad,748.95
123456789848,Male,56,Mumbai,5619.14
123456789849,Female,57,Delhi,221.67
123456789850,Male,58,Bangalore,7493.37
123456789851,Female,59,Hyderabad,2856.46
123456789852,Male,20,Mumbai,9546.31
123456789853,Female,21,Delhi,1662.47
123456789854,Male,22,Bangalore,4803.09
123456789855,Female,23,Hyderabad,9919.4
123456789856,Male,24,Mumbai,5763.7
123456789857,Female,25,Delhi,8506.77
123456789858,Male,26,Bangalore,2166.28
123456789859,Female,27,Hyderabad,9692.16
123456789860,Male,28,Mumbai,4943.41
123456789861,Female,29,Delhi,2614.5
123456789862,Male,30,Bangalore,3623.48
123456789863,Female,31,Hyderabad,6228.43
123456789864,Male,32,Mumbai,8760.4
123456789865,Female,33,Delhi,2763.49
123456789866,Male,34,Bangalore,2796.09
123456789867,Female,35,Hyderabad,4861.69
123456789868,Male,36,Mumbai,4586.48
123456789869,Female,37,Delhi,3489.84
123456789870,Male,38,Bangalore,6808.18
123456789871,Female,39,Hyderabad,1717.93
123456789872,Male,40,Mumbai,1474.97
123456789873,Female,41,Delhi,4927.42
123456789874,Male,42,Bangalore,1822.37
123456789875,Female,43,Hyderabad,8516.44
123456789876,Male,44,Mumbai,966.38
123456789877,Female,45,Delhi,1136.22
123456789878,Male,46,Bangalore,1536.72
123456789879,Female,47,Hyderabad,8066.52
123456789880,Male,48,Mumbai,125.32
123456789881,Female,49,Delhi,2830.88
123456789882,Male,50,Bangalore,1460.24
123456789883,Female,51,Hyderabad,4292.27
123456789884,Male,52,Mumbai,893.21
123456789885,Female,53,Delhi,8174.14
123456789886,Male,54,Bangalore,7123.51
123456789887,Female,55,Hyderabad,8426.55
123456789888,Male,56,Mumbai,189.87
123456789889,Female,57,Delhi,1089.49
123456789890,Male,58,Bangalore,1884.73
123456789891,Female,59,Hyderabad,8921.5
123456789892,Male,20,Mumbai,5370.63
123456789893,Female,21,Delhi,5268.63
123456789894,Male,22,Bangalore,2855.53
123456789895,Female,23,Hyderabad,7798.41
123456789896,Male,24,Mumbai,7068.75
123456789897,Female,25,Delhi,9898.64
123456789898,Male,26,Bangalore,1741.62
123456789899,Female,27,Hyderabad,7147.87
123456789900,Male,28,Mumbai,7066.15
123456789901,Female,29,Delhi,1255.81
123456789902,Male,30,Bangalore,9421.9
123456789903,Female,31,Hyderabad,9388.13
123456789904,Male,32,Mumbai,4164.15
123456789905,Female,33,Delhi,1991.59
123456789906,Male,34,Bangalore,268.86
123456789907,Female,35,Hyderabad,3438.54
123456789908,Male,36,Mumbai,8789.05
123456789909,Female,37,Delhi,1011.92
123456789910,Male,38,Bangalore,2934.16
123456789911,Female,39,Hyderabad,7815.31
123456789912,Male,40,Mumbai,4377.94
123456789913,Female,41,Delhi,1222.56
123456789914,Male,42,Bangalore,4186.18
123456789915,Female,43,Hyderabad,9082.05
123456789916,Male,44,Mumbai,1213.81
123456789917,Female,45,Delhi,5038.62
123456789918,Male,46,Bangalore,4171.83
123456789919,Female,47,Hyderabad,1716.89
123456789920,Male,48,Mumbai,1447.2
123456789921,Female,49,Delhi,3339.27
123456789922,Male,50,Bangalore,9260.15
123456789923,Female,51,Hyderabad,7117.94
123456789924,Male,52,Mumbai,654.76
123456789925,Female,53,Delhi,7595.84
123456789926,Male,54,Bangalore,2903.25
123456789927,Female,55,Hyderabad,8828.7
123456789928,Male,56,Mumbai,5997.35
123456789929,Female,57,Delhi,9196.75
123456789930,Male,58,Bangalore,8933.27
123456789931,Female,59,Hyderabad,8737.43
123456789932,Male,20,Mumbai,2857.14
123456789933,Female,21,Delhi,9357.65
123456789934,Male,22,Bangalore,4584.18
123456789935,Female,23,Hyderabad,5155.91
123456789936,Male,24,Mumbai,13.29
123456789937,Female,25,Delhi,1040.49
123456789938,Male,26,Bangalore,254.15
123456789939,Female,27,Hyderabad,5559.51
123456789940,Male,28,Mumbai,4103.0
123456789941,Female,29,Delhi,4488.94
123456789942,Male,30,Bangalore,160.41
123456789943,Female,31,Hyderabad,5457.59
123456789944,Male,32,Mumbai,8335.71
123456789945,Female,33,Delhi,7111.32
123456789946,Male,34,Bangalore,4976.96
123456789947,Female,35,Hyderabad,25.89
123456789948,Male,36,Mumbai,7826.35
123456789949,Female,37,Delhi,9236.53
123456789950,Male,38,Bangalore,7382.34
123456789951,Female,39,Hyderabad,9160.9
123456789952,Male,40,Mumbai,2492.87
123456789953,Female,41,Delhi,1935.87
123456789954,Male,42,Bangalore,277.05
123456789955,Female,43,Hyderabad,6333.47
123456789956,Male,44,Mumbai,2416.27
123456789957,Female,45,Delhi,1363.05
123456789958,Male,46,Bangalore,2697.99
123456789959,Female,47,Hyderabad,6643.92
123456789960,Male,48,Mumbai,5268.76
123456789961,Female,49,Delhi,8150.62
123456789962,Male,50,Bangalore,575.81
123456789963,Female,51,Hyderabad,489.3
123456789964,Male,52,Mumbai,9713.33
123456789965,Female,53,Delhi,5863.26
123456789966,Male,54,Bangalore,8551.34
123456789967,Female,55,Hyderabad,4275.04
123456789968,Male,56,Mumbai,7904.7
123456789969,Female,57,Delhi,1934.41
123456789970,Male,58,Bangalore,2042.2
123456789971,Female,59,Hyderabad,4761.18
123456789972,Male,20,Mumbai,689.12
123456789973,Female,21,Delhi,7343.61
123456789974,Male,22,Bangalore,1217.69
123456789975,Female,23,Hyderabad,2389.98
123456789976,Male,24,Mumbai,8311.63
123456789977,Female,25,Delhi,7179.13
123456789978,Male,26,Bangalore,4512.41
123456789979,Female,27,Hyderabad,5605.27
123456789980,Male,28,Mumbai,592.63
123456789981,Female,29,Delhi,7178.38
123456789982,Male,30,Bangalore,5781.06
123456789983,Female,31,Hyderabad,4756.12
123456789984,Male,32,Mumbai,5330.16
123456789985,Female,33,Delhi,4407.62
123456789986,Male,34,Bangalore,7610.15
123456789987,Female,35,Hyderabad,4730.47
123456789988,Male,36,Mumbai,1046.25
123456789989,Female,37,Delhi,8534.01
123456789990,Male,38,Bangalore,365.21
